,Unnamed: 0,code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,vol_mean,day_count,vol_up,vol_down,vol_sum
1400,1400,43,中航地产,全国地产,深圳,0.0,66678.07,66696.14,2397867.0,1474312.0,13717.19,56232.3,0.84,-0.235,5.7,1.5,19940928,3.19511766063,205.0,97.0,107.0,21.4650032157
2021,2021,300229,拓尔思,软件服务,北京,1138.4,42058.26,47163.75,189286.61,82707.0,16241.63,54549.18,1.16,0.004,3.25,6.16,20110615,3.1946771669,244.0,117.0,124.0,16.8254089182
1008,1008,600767,运盛医疗,医疗保健,上海,0.0,34091.01,34101.01,61126.38,40566.89,1982.93,5324.18,0.16,-0.052,0.82,17.75,19961115,3.19319096663,160.0,68.0,91.0,11.4271884158
2558,2558,600869,智慧能源,电气设备,青海,62.03,198008.67,221935.28,1277899.63,819862.69,212057.47,103643.68,0.47,0.039,2.04,4.75,19950206,3.19221722074,237.0,115.0,116.0,74.3903715771
2425,2425,679,大连友谊,百货,辽宁,62.35,35634.23,35640.0,841927.88,636847.88,114125.96,7087.68,0.2,0.05,3.58,3.49,19970124,3.19215820445,173.0,86.0,87.0,53.4450803439
1450,1450,2452,长高集团,电气设备,湖南,55.52,32890.32,52515.57,187076.19,150843.59,19416.8,22441.5,0.43,0.045,2.31,4.32,20100720,3.19177432633,141.0,68.0,72.0,16.2735914114
2036,2036,300012,华测检测,电器仪表,深圳,0.0,67759.77,76574.06,184536.91,67036.06,57665.1,41574.2,0.54,-0.011,1.86,6.36,20091030,3.19099138054,244.0,106.0,133.0,58.5787990657
1832,1832,2661,克明面业,食品,湖南,42.82,24781.48,33656.08,244789.05,160921.55,38307.4,159943.61,4.75,0.098,6.05,2.76,20120316,3.19023189942,243.0,111.0,124.0,179.395140252
1775,1775,2742,三圣特材,其他建材,重庆,48.68,7095.75,21600.0,214135.34,135649.36,41589.68,54037.19,2.5,0.119,5.79,4.0,20150217,3.18979308446,179.0,72.0,105.0,24.2899060376
328,328,300126,锐奇股份,轻工机械,上海,251.27,21047.3,30633.83,125355.7,82510.59,20254.17,47842.92,1.56,0.01,3.41,3.05,20101013,3.18923739014,244.0,117.0,123.0,51.9995719298
877,877,300276,三丰智能,专用机械,湖北,418.09,19985.42,37440.0,93799.93,65006.35,4637.37,4126.95,0.11,0.022,1.6,11.55,20111115,3.18885587511,244.0,118.0,124.0,22.7700090803
2416,2416,600435,北方导航,专用机械,北京,722.1,148932.0,148932.0,425917.5,255269.55,100578.9,81486.97,0.55,0.006,1.39,11.97,20030704,3.1873075583,243.0,114.0,127.0,102.776413072
1150,1150,600599,熊猫金控,多元金融,湖南,1596.68,12600.0,16600.0,90963.82,41384.35,2896.13,50607.8,3.05,0.004,4.24,6.06,20010828,3.1867063453,239.0,119.0,118.0,27.5319763335
440,440,601636,旗滨集团,玻璃,湖南,32.89,247163.95,250413.95,1280135.63,278325.06,841195.0,134293.3,0.54,0.061,2.11,1.89,20110812,3.18590923079,244.0,122.0,112.0,156.743567733
2776,2776,2605,姚记扑克,文教休闲,上海,69.36,25465.92,37400.0,143681.06,65573.77,18286.17,16354.62,0.44,0.074,2.87,7.2,20110805,3.18441876765,145.0,64.0,80.0,37.4906776297
501,501,300278,华昌达,专用机械,湖北,73.67,22365.09,54504.33,350982.81,218191.91,25153.75,69120.78,1.27,0.067,2.79,7.1,20111216,3.18317281194,205.0,105.0,99.0,32.0698273629
979,979,300291,华录百纳,影视音像,北京,108.85,47089.3,70853.86,490553.81,261924.7,1096.64,245160.22,3.46,0.056,5.53,4.43,20120209,3.1824801337,231.0,102.0,128.0,1.35650649312
